INPUT SEQUENCE INFO:
Input Name ::	0_23_01_2022_050326_355793_input.fsa.translated
Sequences ::	 2594
Total bpp ::	 783410
Longest seq ::	 10625
Shortest seq ::	 30
Avg seq lenght ::	 302.0

RESULTS:
Min Identity Threshold ::	100.0
Z-THRESHOLD ::	3.0
Prediction Score ::	3172.722
Probability of being human pathogen ::	0.98
Matches::	522
Genome Coverage (%) ::	20.12
Pathogenic Families Matched ::	522
Non-Pathogenic Families Matched ::	0
The organisms is predicted as human pathogenic ::	Yes

MATCHED SEQUENCES:
#input_seq:	contig01_910 # 984059 # 986752 # -1 # ID=1_910;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.300
#matched_seq:	266	BX571857	Staphylococcus aureus strain MSSA476, complete genome.	Bacillales	conserved hypothetical protein	CAG43174	Yes	100.0

#input_seq:	contig02_204 # 200353 # 202458 # 1 # ID=2_204;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.285
#matched_seq:	15757	CP000703	Staphylococcus aureus subsp. aureus JH9, complete genome.	Bacillales	transcriptional regulator, AraC family	ABQ50185	Yes	100.0

#input_seq:	contig01_118 # 127165 # 129207 # 1 # ID=1_118;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.320
#matched_seq:	18801	AP009351	Staphylococcus aureus subsp. aureus str. Newman DNA, complete genome.	Bacillales	conserved hypothetical protein	BAF66872	Yes	100.0

#input_seq:	contig07_21 # 16985 # 18919 # -1 # ID=7_21;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.253
#matched_seq:	266	BX571858	Staphylococcus aureus plasmid pSAS, complete genome.	Bacillales	hypothetical bacteriocin immunity protein	CAG43280	Yes	100.0

#input_seq:	contig01_149 # 160475 # 162364 # 1 # ID=1_149;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.287
#matched_seq:	18801	AP009351	Staphylococcus aureus subsp. aureus str. Newman DNA, complete genome.	Bacillales	ABC-type transport system permease component VraG	BAF66903	Yes	100.0

