ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note
contig01_176 # 185047 # 185490 # -1 # ID=1_176;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.329	contig01_176	185047	185490	-	Perfect	270	301.212	mgrA	100.0	3000815	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; cephalosporin; penam; tetracycline antibiotic; peptide antibiotic; acridine dye; disinfecting agents and intercalating dyes	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|138|hsp_num:0	154
contig01_184 # 193141 # 194307 # 1 # ID=1_184;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.336	contig01_184	193141	194307	+	Perfect	700	765.377	Staphylococcus aureus norA	100.0	3004667	protein homolog model	n/a	n/a	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|2267|hsp_num:0	3367
contig01_882 # 912309 # 913664 # -1 # ID=1_882;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294	contig01_882	912309	913664	-	Perfect	880	911.753	arlS	100.0	3000839	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; acridine dye; disinfecting agents and intercalating dyes	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|168|hsp_num:0	182
contig01_883 # 913661 # 914320 # -1 # ID=1_883;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.329	contig01_883	913661	914320	-	Perfect	410	442.58	arlR	100.0	3000838	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; acridine dye; disinfecting agents and intercalating dyes	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|1306|hsp_num:0	1390
contig02_2 # 1732 # 3177 # -1 # ID=2_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.333	contig02_2	1732	3177	-	Strict	800	949.503	Staphylococcus aureus LmrS	99.17	3004572	protein homolog model	n/a	n/a	macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.21	gnl|BL_ORD_ID|2942|hsp_num:0	3276
contig03_39 # 46195 # 47553 # 1 # ID=3_39;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319	contig03_39	46195	47553	+	Strict	850	871.692	tet(38)	99.78	3000565	protein homolog model	n/a	n/a	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.44	gnl|BL_ORD_ID|1834|hsp_num:0	1835
contig03_240 # 277097 # 277516 # 1 # ID=3_240;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.336	contig03_240	277097	277516	+	Perfect	250	285.804	mepR	100.0	3000746	protein homolog model	n/a	n/a	glycylcycline; tetracycline antibiotic	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	100.00	gnl|BL_ORD_ID|808|hsp_num:0	856
contig03_241 # 277623 # 278978 # 1 # ID=3_241;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.329	contig03_241	277623	278978	+	Strict	850	881.708	mepA	99.78	3000026	protein homolog model	n/a	n/a	glycylcycline; tetracycline antibiotic	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	100.00	gnl|BL_ORD_ID|351|hsp_num:0	377
contig07_1 # 2 # 793 # -1 # ID=7_1;partial=10;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.275	contig07_1	2	793	-	Strict	500	508.834	PC1 beta-lactamase (blaZ)	96.59	3000621	protein homolog model	n/a	n/a	penam	antibiotic inactivation	blaZ beta-lactamase	93.95	gnl|BL_ORD_ID|684|hsp_num:0	726
contig07_24 # 20679 # 20858 # -1 # ID=7_24;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.322	contig07_24 	20679	20858	-	Strict	500	121.709	PC1 beta-lactamase (blaZ)	100.0	3000621	protein homolog model	n/a	n/a	penam	antibiotic inactivation	blaZ beta-lactamase	21.00	gnl|BL_ORD_ID|684|hsp_num:0	726	True	loose hit with at least 95 percent identity pushed strict
contig01_823 # 846213 # 848615 # 1 # ID=1_823;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.322	contig01_823 	846213	848615	+	Strict	1400	1622.45	Staphylococcus aureus parC conferring resistance to fluoroquinolones	99.75	3003312	protein variant model	S80F	n/a	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant parC	100.00	gnl|BL_ORD_ID|2026|hsp_num:0	212
