geninfo_id	title	length	expect	score	bits	identities	positives	total_cds	genbank_id	gc_percentage	reference_bp	reference_description	molecule_type	topology	data_file_division	date	sequence_version	source	organism	comment	taxonomy	mol_type	strain	isolation_source	host	db_xref	country	lat_lon	collection_date	collected_by	taxonomy_id	note	serovar	chromosome	sub_species	isolate	culture_collection	identified_by
1003112629	gi|1003112629|gb|CP010998.1| Staphylococcus aureus strain FORC_012, complete genome	2815416	4.22468e-05	74.0	68.0109	331	331	2579.0	CP010998.1	32.86	2815416.0	Staphylococcus aureus strain FORC_012, complete genome	DNA	circular	BCT	07-MAR-2016	1.0	Staphylococcus aureus	Staphylococcus aureus		Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	genomic DNA	FORC_012	sputum	Homo sapiens	taxon:1280	South Korea	37.53 N 126.96 E	2009-10-01	National Culture Collection for Pathogens, South Korea	1280.0
1015528843	gi|1015528843|gb|CP012976.1| Staphylococcus aureus strain ST20130942, complete genome	2749822	4.22468e-05	74.0	68.0109	331	331	2625.0	CP012976.1	32.82	2749822.0	Staphylococcus aureus strain ST20130942, complete genome	DNA	circular	BCT	05-APR-2016	1.0	Staphylococcus aureus	Staphylococcus aureus	Bacteria available at the French National Reference Center for staphylococci (CNR Staphylocoques) in Lyon, France.	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	genomic DNA	ST20130942	88-year old man presenting knee prosthesis infection	Homo sapiens	taxon:1280	France		2009-05		1280.0
1015531469	gi|1015531469|gb|CP012974.1| Staphylococcus aureus strain ST20130943, complete genome	2749890	4.22468e-05	74.0	68.0109	331	331	2624.0	CP012974.1	32.82	2749890.0	Staphylococcus aureus strain ST20130943, complete genome	DNA	circular	BCT	05-APR-2016	1.0	Staphylococcus aureus	Staphylococcus aureus	Bacteria available at the French National Reference Center for staphylococci (CNR Staphylocoques) in Lyon, France.	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	genomic DNA	ST20130943	88-year old man presenting knee prosthesis infection	Homo sapiens	taxon:1280	France		2009-12		1280.0
1015536760	gi|1015536760|gb|CP012970.1| Staphylococcus aureus strain ST20130939, complete genome	2726196	0.00179638	69.0	63.5025	330	330	2589.0	CP012970.1	32.89	2726196.0	Staphylococcus aureus strain ST20130939, complete genome	DNA	circular	BCT	05-APR-2016	1.0	Staphylococcus aureus	Staphylococcus aureus	Bacteria available at the French National Reference Center for staphylococci (CNR Staphylocoques) in Lyon, France.	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	genomic DNA	ST20130939	26-year old man with an implant associated osteitis	Homo sapiens	taxon:1280	France		2009-08		1280.0
1034302945	gi|1034302945|gb|CP015645.1| Staphylococcus aureus strain 08-02119, complete genome	2796894	0.00179638	69.0	63.5025	330	330	2747.0	CP015645.1	32.88	2796894.0	Staphylococcus aureus strain 08-02119 chromosome, complete genome	DNA	circular	BCT	03-JUN-2016	1.0	Staphylococcus aureus	Staphylococcus aureus	Source DNA and bacteria available from Birgit Strommenger (strommengerb@rki.de), Robert Koch Institut, FG Nosokomiale Infektionserreger und Antibiotikaresistenzen Burgstr. 37, 38855 Wernigerode. Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	genomic DNA	08-02119	wound	Homo sapiens	taxon:1280	Germany		2008	Robert Koch Institute	1280.0	type: ST15
1034305643	gi|1034305643|gb|CP015646.1| Staphylococcus aureus strain 08-02300, complete genome	2742807	4.22468e-05	74.0	68.0109	331	331	2674.0	CP015646.1	32.88	2742807.0	Staphylococcus aureus strain 08-02300 chromosome, complete genome	DNA	circular	BCT	03-JUN-2016	1.0	Staphylococcus aureus	Staphylococcus aureus	Source DNA and bacteria available from Birgit Strommenger (strommengerb@rki.de), Robert Koch Institut, FG Nosokomiale Infektionserreger und Antibiotikaresistenzen Burgstr. 37, 38855 Wernigerode. Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	genomic DNA	08-02300	wound	Homo sapiens	taxon:1280	Germany		2008	Robert Koch Institute	1280.0	type: ST7
1102759359	gi|1102759359|gb|CP013132.1| Staphylococcus aureus strain FORC_026, complete genome	2719261	0.00626998	66.0	60.7975	126	126	2421.0	CP013132.1	32.85	2719261.0	Staphylococcus aureus strain FORC_026 chromosome, complete genome	DNA	circular	BCT	16-NOV-2016	1.0	Staphylococcus aureus	Staphylococcus aureus		Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	genomic DNA	FORC_026	Blood		taxon:1280	South Korea: Seoul	37.48831263 N 127.08661336 E	2014-01-01	Seoul Samsung Hospital, Korea	1280.0
1200850421	gi|1200850421|dbj|AP015012.1| Staphylococcus aureus DNA, almost complete genome, strain: No.10	2764435	0.00626998	66.0	60.7975	126	126	2581.0	AP015012.1	32.83	2764435.0	Staphylococcus aureus DNA, almost complete genome, strain: No.10	DNA	circular	BCT	22-SEP-2017	1.0	Staphylococcus aureus	Staphylococcus aureus		Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	genomic DNA	No.10			taxon:1280					1280.0
1211161856	gi|1211161856|gb|CP017115.1| Staphylococcus aureus strain FORC_045, complete genome	2807171	0.00626998	66.0	60.7975	126	126	2630.0	CP017115.1	32.84	2807171.0	Staphylococcus aureus strain FORC_045 chromosome, complete genome	DNA	circular	BCT	27-JUN-2017	1.0	Staphylococcus aureus	Staphylococcus aureus	Bacteria available from the Food-borne Pathogen Omics Research Center.	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	genomic DNA	FORC_045	blood	Homo sapiens	taxon:1280	South Korea: Seoul	37.49 N 127.0900 E	2014-07-01	Samsung Medical Center, Seoul	1280.0
1214498225	gi|1214498225|gb|CP016398.1| Staphylococcus aureus strain FORC_040, complete genome	2760844	4.22468e-05	74.0	68.0109	331	331	2518.0	CP016398.1	32.84	2760844.0	Staphylococcus aureus strain FORC_040 chromosome, complete genome	DNA	circular	BCT	05-JUL-2017	1.0	Staphylococcus aureus	Staphylococcus aureus		Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	genomic DNA	FORC_040	Pork		taxon:1280	South Korea	36.8659 N 127.5528 E	2013-04-16	Ministry of Food and Drug Safety	1280.0
